Chr_arm	Chr_arm_size	Relative_telomere_length
Yq	46.7	6.75
19p	28.5	9.82
Yp	11.3	10.06
20q	34.9	10.18
22p	11.8	10.24
19q	35.5	10.38
2q	149.7	10.55
21p	12.3	10.6
12p	35.4	10.62
17p	22.2	10.69
17q	56.8	10.82
21q	34.7	10.87
22q	38.2	11.19
14p	15.6	11.24
16p	38.2	11.28
10p	40.3	11.45
13p	16	11.46
6p	60.5	11.53
15p	17	11.57
18p	16.1	11.57
9p	51.8	11.62
16q	50.8	11.78
9q	88.2	11.83
11p	52.9	12.22
18q	59.9	12.24
15q	83	12.52
7p	59.1	12.57
Xq	95.5	12.64
2p	93.3	12.74
5p	47.7	12.74
20p	27.1	12.76
8p	45.2	12.87
3q	108.3	13
5q	133.3	13.13
12q	96.6	13.14
1q	122.7	13.24
14q	90.4	13.29
4p	50.8	13.32
6q	110.5	13.53
8q	100.8	13.55
13q	98	13.82
Xp	59.5	13.92
7q	99.9	14
4q	140.2	14.02
10q	94.7	14.04
11q	81.1	14.23
1p	124.3	14.38
3p	91.7	14.46
